Cycle,T10_R0,T10_R1,T10_R3,T25_R0,T25_R1,T25_R3,T40_R0,T40_R1,T40_R3
782,,0.391298599,0.93624973,2.193499679,2.514243761,2.683824317,,,
783,,0.380922881,0.923887074,2.193306021,2.502754223,2.685416303,,,
784,,0.364047596,0.911491592,2.194895347,2.5023958,2.684796943,,,
785,,0.348182887,0.894205076,2.181337873,2.494741334,2.680311259,,,
786,,0.335963124,0.876204458,2.166838418,2.488903073,2.671905433,,,
787,,0.330488033,0.869746484,2.166338769,2.490400832,2.671277855,,,
788,,0.304239169,0.865479316,2.167928095,2.485814011,2.663502846,,,
789,,0.288002436,0.859683351,2.160753136,2.487421654,2.65849943,,,
790,,0.285385724,0.84191644,2.152592729,2.479673552,2.656610683,,,
791,,0.262778285,0.835432759,2.145574772,2.478189768,2.637766055,,,
792,,0.255400064,0.829137304,2.141525508,2.471873019,2.639358042,,,
793,,0.239469944,0.804775504,2.13528015,2.465888214,2.640327259,,,
794,,0.232493095,0.801267907,2.127229563,2.450447988,2.629611432,,,
795,,0.222395386,0.791368971,2.117454042,2.448748513,2.620153277,,,
796,,0.214556702,0.788968407,2.119043368,2.442723997,2.611694226,,,
797,,0.202858191,0.765656637,2.112730286,2.435387645,2.612082502,,,
798,,0.1976507,0.755368445,2.099084882,2.420682594,2.605681593,,,
799,,0.177505148,0.74548641,2.090157602,2.422290237,2.607273579,,,
800,,0.162031293,0.73369554,2.088097361,2.404899854,2.597407995,,,
801,,0.154370339,0.726222002,2.077663146,2.406507497,2.598533389,,,
802,,0.150923808,0.716112222,2.078422274,2.40070532,2.585675124,,,
803,,,0.701193749,2.061896431,2.400691496,2.580103284,,,
804,,,0.69704332,2.057584567,2.385213434,2.577272496,,,
805,,,0.677571513,2.053754545,2.378525516,2.570066181,,,
806,,,0.666478659,2.047383521,2.380133159,2.567599652,,,
807,,,0.662111432,2.043269962,2.368362473,2.559256481,,,
808,,,0.646148694,2.04151,2.369970116,2.555805377,,,
809,,,0.620703387,2.029466309,2.3658408,2.553934213,,,
810,,,0.621862682,2.02886657,2.356849786,2.545264374,,,
811,,,0.606668308,2.025944552,2.350338216,2.543798738,,,
812,,,0.604487004,2.006199486,2.347833406,2.532821265,,,
813,,,0.581266808,1.998146514,2.333127598,2.529472824,,,
814,,,0.579858286,1.999735839,2.320830689,2.522019091,,,
815,,,0.556736354,1.980891321,2.320315728,2.522880594,,,
816,,,0.552071567,1.980109773,2.321923371,2.51149365,,,
817,,,0.542914694,1.963536092,2.318309944,2.513085636,,,
818,,,0.535246992,1.957867693,2.311594636,2.510835378,,,
819,,,0.521089338,1.955854192,2.304784318,2.506111527,,,
820,,,0.500031431,1.951760412,2.292374061,2.495226555,,,
821,,,0.485527145,1.944699487,2.293306797,2.48731097,,,
822,,,0.476388617,1.933307089,2.282520311,2.48229499,,,
823,,,0.458080318,1.931222726,2.276680736,2.482756065,,,
824,,,0.45681888,1.922395549,2.273217559,2.4803417,,,
825,,,0.440333165,1.911147758,2.26370076,2.47777945,,,
826,,,0.422157297,1.902139054,2.260061495,2.465671603,,,
827,,,0.402982325,1.896368258,2.253090505,2.462953051,,,
828,,,0.400756386,1.87872923,2.245708247,2.461340068,,,
829,,,0.389580573,1.880318556,2.23708499,2.458264806,,,
830,,,0.367906718,1.879390769,2.233052487,2.452540362,,,
831,,,0.363335128,1.872141973,2.23466013,2.442517355,,,
832,,,0.346532558,1.858233902,2.231220313,2.444109341,,,
833,,,0.343580847,1.85646359,2.215596402,2.43656954,,,
834,,,0.333798719,1.856385276,2.213633105,2.430598149,,,
835,,,0.318319187,1.844488198,2.210356487,2.423021531,,,
836,,,0.311808285,1.832761504,2.205972286,2.418772769,,,
837,,,0.299636643,1.83435083,2.194441926,2.411684181,,,
838,,,0.282772136,1.814265345,2.181737547,2.401733174,,,
839,,,0.263525655,1.811450608,2.175468413,2.400596283,,,
840,,,0.253531445,1.808346367,2.177076056,2.391474643,,,
841,,,0.243757446,1.800167407,2.161450848,2.392253059,,,
842,,,0.230780387,1.792238112,2.152054064,2.382853998,,,
843,,,0.231083603,1.782201581,2.153661707,2.375168167,,,
844,,,0.220798761,1.772861153,2.140401908,2.362971838,,,
845,,,0.204301705,1.77261244,2.140638529,2.364563824,,,
846,,,0.194142971,1.761948617,2.131517377,2.358076381,,,
847,,,0.182585374,1.751534632,2.115493056,2.355891526,,,
848,,,0.166392135,1.746419295,2.115669761,2.355668506,,,
849,,,0.155336526,1.739576275,2.117277404,2.348733366,,,
850,,,0.147928511,1.727524699,2.11048458,2.349827987,,,
851,,,0.136906062,1.720702318,2.107257529,2.336327163,,,
852,,,0.136292309,1.715458302,2.096153349,2.329950627,,,
853,,,,1.706079511,2.084446624,2.331542613,,,
854,,,,1.701600822,2.086054267,2.306626262,,,
855,,,,1.691081701,2.085618193,2.303885101,,,
856,,,,1.69079016,2.074025289,2.292601134,,,
857,,,,1.691816284,2.074620699,2.29419312,,,
858,,,,1.675299522,2.076228342,2.291048956,,,
859,,,,1.676888848,2.06138579,2.283027564,,,
860,,,,1.672175887,2.053292816,2.273739919,,,
861,,,,1.659147149,2.050716756,2.272407272,,,
862,,,,1.652097681,2.03359404,2.266151652,,,
863,,,,1.648052866,2.035201683,2.267743638,,,
